"BN","School_Year","Start_Date","Overall_Rating","Indicator_1.1","Indicator_1.2","Indicator_1.3","Indicator_1.4","Indicator_1.5","Indicator_1.6","Indicator_1.7","IndicatorOverall_1","Indicator_2.1","Indicator_2.2","Indicator_2.3","Indicator_2.4","Indicator_2.5","Indicator_2.6","Indicator_2.7","IndicatorOverall_2","Indicator_3.1","Indicator_3.2","Indicator_3.3","Indicator_3.4","Indicator_3.5","Indicator_3.6","Indicator_3.7","Indicator_3.8","IndicatorOverall_3","Indicator_4.1","Indicator_4.2","Indicator_4.3","Indicator_4.4","Indicator_4.5","Indicator_4.6","Indicator_4.7","IndicatorOverall_4","Indicator_5.1","Indicator_5.2","Indicator_5.3","Indicator_5.4","Indicator_5.5","Indicator_5.6","Indicator_5.7","IndicatorOverall_5"
"X043","2017-18","43018","No Data","P","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X049","2017-18","43129","No Data","P","WD","WD","WD","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X151","2017-18","43054","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X179","2017-18","43047","No Data","D","D","P","P","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X259","2017-18","43243","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","P","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X334","2017-18","43039","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X379","2017-18","43208","No Data","P","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X527","2017-18","43053","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X075","2017-18","43111","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X101","2017-18","43174","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X119","2017-18","43159","No Data","P","P","P","D","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","D","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X123","2017-18","43249","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X131","2017-18","43215","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X146","2017-18","43167","No Data","D","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X152","2017-18","43250","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X301","2017-18","43229","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X320","2017-18","43088","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X349","2017-18","43137","No Data","P","P","WD","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X375","2017-18","43234","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X377","2017-18","43026","No Data","D","D","P","P","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","D","P","No Data","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X405","2017-18","43207","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X424","2017-18","43242","No Data","D","D","P","D","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","D","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X467","2017-18","43031","No Data","D","D","P","WD","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","D","D","No Data","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X530","2017-18","43222","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X537","2017-18","43208","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X004","2017-18","43033","No Data","WD","D","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X011","2017-18","43040","No Data","WD","P","P","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X022","2017-18","43237","No Data","P","P","WD","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X053","2017-18","43076","No Data","P","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X088","2017-18","43235","No Data","D","D","P","P","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","D","No Data","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X117","2017-18","43235","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X218","2017-18","43103","No Data","WD","P","WD","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X219","2017-18","43251","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X227","2017-18","43209","No Data","P","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X236","2017-18","43040","No Data","D","D","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","D","P","No Data","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X252","2017-18","43027","No Data","P","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X294","2017-18","43073","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X297","2017-18","43054","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X313","2017-18","43236","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X328","2017-18","43242","No Data","P","WD","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X339","2017-18","43244","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X350","2017-18","43209","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X403","2017-18","43244","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X412","2017-18","43187","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X443","2017-18","43137","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X449","2017-18","43181","No Data","P","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X457","2017-18","43082","No Data","D","D","P","P","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","D","No Data","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X505","2017-18","43025","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X517","2017-18","43139","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X015","2017-18","43103","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X024","2017-18","43237","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X033","2017-18","43089","No Data","WD","P","WD","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","P","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X037","2017-18","43047","No Data","WD","P","WD","P","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X051","2017-18","43048","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X059","2017-18","43047","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","WD","P","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X085","2017-18","43237","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X095","2017-18","43160","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X141","2017-18","43186","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X205","2017-18","43179","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","WD","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X207","2017-18","43223","No Data","P","P","WD","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X225","2017-18","43172","No Data","P","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","WD","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X226","2017-18","43167","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X279","2017-18","43216","No Data","P","P","WD","WD","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X319","2017-18","43110","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","D","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X342","2017-18","43130","No Data","P","D","P","WD","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","WD","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X344","2017-18","43137","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X363","2017-18","43250","No Data","WD","P","WD","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X368","2017-18","43256","No Data","WD","P","P","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X391","2017-18","43249","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X397","2017-18","43165","No Data","WD","P","WD","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X434","2017-18","43117","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","D","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X438","2017-18","43228","No Data","P","P","WD","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X439","2017-18","43221","No Data","WD","P","WD","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","WD","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X440","2017-18","43160","No Data","D","D","P","P","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X549","2017-18","43081","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X565","2017-18","43173","No Data","P","P","WD","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X016","2017-18","43216","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X096","2017-18","43047","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","D","No Data","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X097","2017-18","43081","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X103","2017-18","43069","No Data","P","P","P","D","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","D","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X105","2017-18","43171","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","WD","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X108","2017-18","43208","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","WD","No Data","No Data","WD","No Data","No Data","No Data","No Data","No Data","P","WD","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"X112","2017-18","43235","No Data","D","D","P","P","No Data","No Data","No Data","No Data","No Data","D","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","P","P","No Data","No Data","No Data","No Data","No Data","No Data","P","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
